feature,mean_abs_shap_overall,mean_abs_shap_Benign,mean_abs_shap_Likely benign,mean_abs_shap_Likely pathogenic,mean_abs_shap_Pathogenic
kmer_ref_CGG,0.002344587045697478,0.0037021711007162463,0.0010735748510376216,0.0018019910726655708,0.0028006111583704723
kmer_ref_GGG,0.0023442204460124958,0.0027642092319769065,0.0021998235899912837,0.0024026076528272464,0.0020102413092545467
kmer_alt_CCC,0.002329271004996888,0.0017270118856458241,0.003069444004157823,0.002432305951597559,0.002088322178586346
kmer_diff_GGG,0.002323946827542429,0.0013764845392788304,0.003306833021558902,0.003401058112249746,0.001211411637082236
kmer_ref_TGT,0.0023020228658367173,0.0026016032036627382,0.0019273163220140273,0.00265574307800205,0.002023428859668055
kmer_alt_TGG,0.0023020212937189845,0.002283280721836283,0.0031085571237054717,0.0018151952590145953,0.0020010520703195875
kmer_alt_CTC,0.0022785384921155667,0.0036680054360569746,0.001809975713124968,0.0019171752124695378,0.001718997606810787
kmer_alt_GAA,0.0022702390636094643,0.002123508919650193,0.002807836222097348,0.001511510630627208,0.0026381004820631086
kmer_alt_TCA,0.0022700487332695815,0.002310340984614461,0.0028016854022200836,0.002569559033742489,0.0013986095125012932
kmer_alt_AGT,0.0022591003800623215,0.003761361885199181,0.0011922735624284933,0.001939409911011464,0.0021433561616101475
kmer_alt_TAC,0.002250155472313223,0.004107197270061184,0.0016822558665115547,0.0010644674775566476,0.002146701275123505
kmer_alt_TTC,0.0022049984694848986,0.0026289078336762172,0.002092926656256079,0.0020584738413615177,0.00203968554664578
kmer_alt_AGG,0.0021882498435168043,0.0023986413638817945,0.002053996301684816,0.0021928310082352663,0.0021075307002653408
kmer_diff_CCT,0.002182144745576648,0.0026961651042854864,0.0016465289100799582,0.0028720854524588776,0.0015137995154822705
kmer_alt_TGC,0.0021628274584479844,0.002660650107659797,0.0023121397525224297,0.0018788506268928526,0.0017996693467168595
kmer_alt_ATG,0.0021441156190836626,0.0021697802250285935,0.002197283513042377,0.0024886254667747104,0.0017207732714889688
kmer_ref_ACA,0.0021109899165702717,0.001594547179916966,0.002414057386108771,0.0015500801054240533,0.0028852749948312948
kmer_alt_GGT,0.0021052346239313433,0.002684273561698813,0.0016799428952377442,0.001908603925269462,0.0021481181135193555
kmer_ref_GCT,0.002073527180646184,0.0022077441041847006,0.0019554637705179404,0.0020096182141765085,0.0021212826337055866
kmer_alt_GTG,0.001985072322044525,0.0019140790491739917,0.002585115337092692,0.0020560799895468144,0.0013850149123646027
kmer_ref_GTT,0.0019834217705145545,0.0017394355320311892,0.0019902578636718997,0.0016002533417401547,0.0026037403446149735
kmer_ref_ATC,0.0019798255797417496,0.002541181360782777,0.0024589563043929323,0.0015985041500867895,0.0013206605037044997
kmer_ref_CCG,0.0019709815774052505,0.0026470851700127773,0.00126410709844306,0.001645096038567359,0.0023276380025978047
kmer_diff_ATC,0.001921693540573823,0.003470893219387504,0.0013762498263602465,0.0007509315045726989,0.0020886996119748435
kmer_ref_CGA,0.0019207247721216686,0.003108220940938616,0.0016092473012487445,0.0015517117214449833,0.0014137191248543301
kmer_ref_CTC,0.0019198267826727301,0.0030892265580373785,0.0015837576811465143,0.0012886291817280678,0.0017176937097789597
kmer_ref_CGT,0.0019039148685394435,0.002868200282031163,0.0010357371078053106,0.002137959025971276,0.0015737630583500253
kmer_alt_TTT,0.0018973467642095557,0.0025414172168309744,0.0019256405045527387,0.0015499500976239968,0.001572379237830513
kmer_alt_ATC,0.0018911693686952486,0.0022276684218600633,0.0016609622519968695,0.0019028662141345907,0.0017731805867894708
kmer_alt_AGC,0.0018910674297039328,0.0015965568263266521,0.0017209307146955624,0.0020758096085213987,0.002170972569272117
kmer_diff_TGC,0.0018807580625676604,0.0012388207036690075,0.002489796636159414,0.0026032820640128937,0.0011911328464293274
kmer_ref_AAT,0.0018505629262908913,0.0020165333699545857,0.002074359742089315,0.0012250564794987764,0.002086302113620889
kmer_ref_TTC,0.0017437642960336287,0.0022022329260230223,0.001900246683303688,0.0013761619235329392,0.001496415651274866
kmer_alt_GCG,0.0017381971657236934,0.002760347592078678,0.0009673457844346269,0.0017881368363640985,0.0014369584500173696
kmer_ref_TCA,0.0017216404046694563,0.002086606646268529,0.0011050975216569435,0.0018437959464989366,0.0018510615042534157
kmer_alt_AAT,0.0017052779590810685,0.00155582358558451,0.002223471389786123,0.0016612029141192758,0.0013806139468343656
kmer_alt_TAG,0.0016973101050922752,0.0012700621279883306,0.0024403441288127,0.0018371033721489712,0.0012417307914190984
kmer_ref_TGA,0.0016585688298586484,0.002550844999262076,0.0014271495839534411,0.0016890373896988687,0.0009672433465202078
kmer_ref_TCG,0.0016378430248559894,0.0024152173222997124,0.0016389126405088278,0.0016813962491802874,0.0008158458874351299
kmer_ref_GTC,0.0016189695697110312,0.0018583179446281185,0.0015057747798068485,0.0019935645607076654,0.0011182209937014931
kmer_alt_TGT,0.0015162758429655661,0.0016022684620044323,0.0014548902019702868,0.0016836330640198696,0.0013243116438676759
kmer_diff_TCT,0.00151026188462214,0.001237370533906103,0.0017564239635319142,0.0010273648106979975,0.0020198882303525457
kmer_ref_GAC,0.0014886202896170853,0.0022731893746029746,0.000913662758376746,0.0011816928558897632,0.001585936169598857
kmer_diff_CGC,0.0014514829787520423,0.0012087388790159896,0.0016320354815081797,0.0009019700507776797,0.0020631875037063203
kmer_diff_CAG,0.001420969759772426,0.00214200491542575,0.0010715330288818615,0.0007888259051744181,0.001681515189607675
kmer_diff_ACC,0.0014196650803206124,0.0018347755712796628,0.000868334613602916,0.0023610010227117307,0.0006145491136881402
kmer_ref_AAG,0.0014045959729474078,0.0013026651132582777,0.0014798728213755237,0.0013621121795910868,0.0014737337775647434
kmer_alt_GCA,0.0013852270318524293,0.0013229299704235916,0.0012523943868826934,0.0017214676841920296,0.0012441160859114034
kmer_alt_CTT,0.0012604203151504686,0.0017299828097419882,0.0012328569385535826,0.0013912629924600942,0.0006875785198462099
kmer_ref_TTA,0.001216503565853061,0.0017774132621182393,0.0014986957040724102,0.0009746991952958005,0.000615206101925794
kmer_ref_TAT,0.0012106000870079998,0.001259747764150402,0.001160904938945413,0.0010906719450193831,0.0013310756999168009
kmer_diff_TGA,0.001203610598262851,0.0010757110758880235,0.0009317088000535381,0.0013981969224775292,0.001408825594632313
kmer_diff_AAC,0.00118106853620478,0.000668962195752089,0.0013283220241669747,0.0008408676184208094,0.001886122306479247
kmer_diff_GTC,0.0011307281185404972,0.0013882406463521495,0.0005094682705606101,0.000964854737757468,0.001660348819491761
kmer_diff_GCC,0.0011209261370036363,0.0018498491787870973,0.0005015500159063741,0.0009126488581788587,0.0012196564951422147
kmer_ref_TTG,0.0011001768023538136,0.0012116865891975575,0.0011448781667814766,0.0011039765713881957,0.0009401658820480251
kmer_ref_AAA,0.001012847220797764,0.001074002172744449,0.0010376939833775189,0.0008643733769914424,0.001075319350077646
kmer_alt_GCT,0.0009292456862631005,0.0017115929945518654,0.0013167768449633243,0.0003045781288170897,0.0003840347767201227
kmer_diff_TCC,0.0009187964012228098,0.0008612073546219155,0.0008838552903683725,0.0012646348791727298,0.0006654880807282212
kmer_diff_CAA,0.0008770302739556593,0.0007222342507556765,0.0008629090520436027,0.0007546168687717836,0.001168360924251574
kmer_diff_CAC,0.0008152761180893643,0.0007516587455011475,0.000647057476310705,0.0009335733292485477,0.0009288149212970573
kmer_diff_TTA,0.0008139581785783796,0.0005245645048600748,0.0007540687580526528,0.001143804372880328,0.0008333950785204624
