combo,max_depth,min_samples_leaf,ccp_alpha,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
26,20,1,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,2.1687012195587156,38
23,10,20,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.2823012828826905,39
20,10,10,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.3119908809661864,40
17,10,5,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.3037425041198731,41
14,10,1,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.3140281200408936,42
11,None,20,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,1.7241058826446534,43
8,None,10,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,2.037117290496826,44
5,None,5,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,2.2574041366577147,45
2,None,1,0.005,0.7259597688877619,0.0075776685193659505,0.7309820111868697,0.006810258388489522,2.8064025402069093,46
36,30,1,0.0,0.7223306088271217,0.005754944789427489,0.7221236924835668,0.005579396575855115,2.5409236907958985,47
0,None,1,0.0,0.7199411822184492,0.005069656911932514,0.7197234965092066,0.0050212558295215535,2.8619298458099367,48
