combo,fold,max_depth,min_samples_leaf,ccp_alpha,cv_acc,cv_macro_f1,fit_seconds
17,1,10,5,0.005,0.7385714285714285,0.7339989273946173,1.3239243030548096
17,2,10,5,0.005,0.7311428571428571,0.7228577021808882,1.3082869052886963
17,3,10,5,0.005,0.727350671620463,0.7236624041931564,1.296030044555664
17,4,10,5,0.005,0.7216347527865105,0.7160762790800965,1.2965590953826904
17,5,10,5,0.005,0.7362103458130894,0.733203531590051,1.2939121723175049
18,1,10,10,0.0,0.7525714285714286,0.75068756637913,1.2932698726654053
18,2,10,10,0.0,0.7468571428571429,0.742870207663847,1.277466058731079
18,3,10,10,0.0,0.7482137753643898,0.747859634190243,1.2821030616760254
18,4,10,10,0.0,0.7299228350957416,0.7291257973854927,1.3296749591827393
18,5,10,10,0.0,0.7413546727636467,0.73686376568784,1.4971718788146973
19,1,10,10,0.001,0.7588571428571429,0.7600857224058843,1.384505271911621
19,2,10,10,0.001,0.744,0.7357219682434248,1.3905510902404785
19,3,10,10,0.001,0.7510717347813661,0.7514180684971082,1.2859959602355957
19,4,10,10,0.001,0.7387825092883681,0.7382410470454777,1.2705979347229004
19,5,10,10,0.001,0.7450700200057159,0.7451984145685541,1.3058960437774658
20,1,10,10,0.005,0.7385714285714285,0.7339989273946173,1.2914490699768066
20,2,10,10,0.005,0.7311428571428571,0.7228577021808882,1.4252161979675293
20,3,10,10,0.005,0.727350671620463,0.7236624041931564,1.2990200519561768
20,4,10,10,0.005,0.7216347527865105,0.7160762790800965,1.2628309726715088
20,5,10,10,0.005,0.7362103458130894,0.733203531590051,1.2814381122589111
21,1,10,20,0.0,0.7451428571428571,0.7447540094226603,1.3405182361602783
21,2,10,20,0.0,0.7462857142857143,0.7417619736244452,1.368110179901123
21,3,10,20,0.0,0.7567876536153186,0.7566112446017781,1.2773981094360352
21,4,10,20,0.0,0.7370677336381823,0.7368515829228,1.2534818649291992
21,5,10,20,0.0,0.7416404687053444,0.73909528229851,1.3381729125976562
22,1,10,20,0.001,0.7588571428571429,0.7600857224058843,1.5045011043548584
22,2,10,20,0.001,0.7434285714285714,0.7351541887813753,1.4124128818511963
22,3,10,20,0.001,0.7507859388396685,0.7513281596716403,1.3912608623504639
22,4,10,20,0.001,0.7382109174049728,0.7376823321669188,1.2996978759765625
22,5,10,20,0.001,0.7444984281223207,0.7446400822269298,1.2891581058502197
23,1,10,20,0.005,0.7385714285714285,0.7339989273946173,1.2407488822937012
23,2,10,20,0.005,0.7311428571428571,0.7228577021808882,1.3142619132995605
23,3,10,20,0.005,0.727350671620463,0.7236624041931564,1.2700088024139404
23,4,10,20,0.005,0.7216347527865105,0.7160762790800965,1.2333180904388428
23,5,10,20,0.005,0.7362103458130894,0.733203531590051,1.3531687259674072
24,1,20,1,0.0,0.732,0.732240456335676,2.1715891361236572
