feature,mean_abs_shap_overall,mean_abs_shap_Benign/Likely benign,mean_abs_shap_Pathogenic/Likely pathogenic
sift_rankscore,0.0021594977890083125,0.0021594977890083125,0.0021594977890083125
allofus250k_gvs_sas_an,0.0021589770573892672,0.0021589770573892672,0.0021589770573892672
chasmplus_ucec_score,0.0021552823489241774,0.0021552823489241774,0.0021552823489241774
chasmplus_esca_score,0.0021391513611016466,0.0021391513611016466,0.0021391513611016466
esm1b_rankscore,0.001982790508956113,0.001982790508956113,0.001982790508956113
chasmplus_lgg_pval,0.0019824930771504936,0.0019824930771504936,0.0019824930771504936
gnomad3_af_afr,0.0019603698988876032,0.0019603698988876032,0.0019603698988876032
chasmplus_brca_pval,0.0019455822316834183,0.0019455822316834183,0.0019455822316834183
chasmplus_acc_score,0.001895517175904667,0.001895517175904667,0.001895517175904667
chasmplus_kirc_pval,0.0018639677365676773,0.0018639677365676773,0.0018639677365676773
allofus250k_gvs_amr_an,0.0018101454875588277,0.0018101454875588277,0.0018101454875588277
allofus250k_gvs_oth_ac,0.001806925016857793,0.001806925016857793,0.001806925016857793
chasmplus_tgct_pval,0.001796647760560171,0.001796647760560171,0.001796647760560171
chasmplus_score,0.0017349923693512773,0.0017349923693512773,0.0017349923693512773
cscape_coding_score,0.0016695712444305824,0.0016695712444305824,0.0016695712444305824
chasmplus_meso_score,0.0016419612949011293,0.0016419612949011293,0.0016419612949011293
chasmplus_gbm_score,0.0015847478553419126,0.0015847478553419126,0.0015847478553419126
cadd_phred,0.0015256208435996017,0.0015256208435996017,0.0015256208435996017
chasmplus_lusc_score,0.0014278950894004228,0.0014278950894004228,0.0014278950894004228
mutationtaster_rankscore,0.001398934860487063,0.001398934860487063,0.001398934860487063
chasmplus_coad_score,0.0013620051587856636,0.0013620051587856636,0.0013620051587856636
chasmplus_read_score,0.0013540995010096104,0.0013540995010096104,0.0013540995010096104
chasmplus_kirp_score,0.0013124811184626547,0.0013124811184626547,0.0013124811184626547
chasmplus_kich_pval,0.001263178509037244,0.001263178509037244,0.001263178509037244
dann_coding_dann_rankscore,0.0012548434254315045,0.0012548434254315045,0.0012548434254315045
chasmplus_thca_score,0.0012325334730394898,0.0012325334730394898,0.0012325334730394898
chasmplus_hnsc_score,0.001224891801302767,0.001224891801302767,0.001224891801302767
allofus250k_gvs_mid_ac,0.0011962225551240642,0.0011962225551240642,0.0011962225551240642
chasmplus_dlbc_pval,0.0011795138917988699,0.0011795138917988699,0.0011795138917988699
chasmplus_brca_score,0.001074796443474065,0.001074796443474065,0.001074796443474065
phastcons_phastcons100_vert,0.0010700427484379525,0.0010700427484379525,0.0010700427484379525
chasmplus_skcm_score,0.0009344338693350146,0.0009344338693350146,0.0009344338693350146
chasmplus_ov_pval,0.0008814738482053205,0.0008814738482053205,0.0008814738482053205
chasmplus_paad_pval,0.0008308653793869158,0.0008308653793869158,0.0008308653793869158
funseq2_score,0.0007230692267170183,0.0007230692267170183,0.0007230692267170183
chasmplus_ov_score,0.0007124709956845317,0.0007124709956845317,0.0007124709956845317
chasmplus_thym_score,0.0006797896190613951,0.0006797896190613951,0.0006797896190613951
chasmplus_luad_score,0.0006697218547172031,0.0006697218547172031,0.0006697218547172031
allofus250k_gvs_all_af,0.0006568597232225525,0.0006568597232225525,0.0006568597232225525
chasmplus_blca_pval,0.0006327570910377238,0.0006327570910377238,0.0006327570910377238
chasmplus_sarc_score,0.0005444452972685421,0.0005444452972685421,0.0005444452972685421
gnomad3_af_fin,0.0005417298260094433,0.0005417298260094433,0.0005417298260094433
chasmplus_dlbc_score,0.0005415467026819222,0.0005415467026819222,0.0005415467026819222
metarnn_rank_score,0.0005233501652765685,0.0005233501652765685,0.0005233501652765685
chasmplus_tgct_score,0.0005138100038690425,0.0005138100038690425,0.0005138100038690425
chasmplus_lgg_score,0.0004969415961737929,0.0004969415961737929,0.0004969415961737929
chasmplus_uvm_pval,0.00043322319228612045,0.00043322319228612045,0.00043322319228612045
chasmplus_blca_score,0.0004087645872390171,0.0004087645872390171,0.0004087645872390171
chasmplus_stad_score,0.00040282131292750805,0.00040282131292750805,0.00040282131292750805
chasmplus_thca_pval,0.0003948151221080278,0.0003948151221080278,0.0003948151221080278
allofus250k_gvs_oth_an,0.0003911923855921913,0.0003911923855921913,0.0003911923855921913
chasmplus_ucs_score,0.00037919215832079813,0.00037919215832079813,0.00037919215832079813
chasmplus_kich_score,0.0003480286870242287,0.0003480286870242287,0.0003480286870242287
chasmplus_kirc_score,0.0003346792291348024,0.0003346792291348024,0.0003346792291348024
chasmplus_uvm_score,0.00031796221630482553,0.00031796221630482553,0.00031796221630482553
allofus250k_gvs_mid_an,0.0003142827870191091,0.0003142827870191091,0.0003142827870191091
chasmplus_pcpg_score,0.00028360543520069165,0.00028360543520069165,0.00028360543520069165
chasmplus_paad_score,0.00024580656857297245,0.00024580656857297245,0.00024580656857297245
chasmplus_cesc_score,0.0002285868352904569,0.0002285868352904569,0.0002285868352904569
phastcons_phastcons470_mamm,0.0001075282790583823,0.0001075282790583823,0.0001075282790583823
allofus250k_gvs_amr_af,8.098097088404707e-05,8.098097088404707e-05,8.098097088404707e-05
allofus250k_gvs_oth_af,6.685759625902195e-05,6.685759625902195e-05,6.685759625902195e-05
