model,setting,accuracy,macro_f1,macro_precision,macro_recall
NearestCentroid,2class_no_vep_kfold,0.9349,0.9348,0.9366,0.9349
CosineSimilarity,2class_no_vep_kfold,0.9344,0.9343,0.9363,0.9344
QDA,2class_no_vep_kfold,0.861,0.8588,0.8857,0.8611
HistGradientBoosting,4class_no_vep_gene,0.7771,0.7611,0.7618,0.7614
LinearSVC,4class_no_vep_gene,0.7461,0.73,0.7336,0.7299
DecisionTree,4class_no_vep_gene,0.7456,0.7267,0.7295,0.7282
SGDClassifier,4class_no_vep_gene,0.7167,0.6977,0.6981,0.6993
RidgeClassifier,4class_no_vep_gene,0.6846,0.6738,0.6793,0.6734
LDA,4class_no_vep_gene,0.6781,0.6674,0.672,0.6668
AdaBoost,4class_no_vep_gene,0.6964520367936925,0.6628911017734822,0.6678168647622785,0.674662193528096
QDA,4class_no_vep_gene,0.6171,0.601,0.6575,0.6097
CosineSimilarity,4class_no_vep_gene,0.5813,0.5582,0.6549,0.5745
KNN,4class_no_vep_gene,0.558,0.5539,0.5582,0.5537
NearestCentroid,4class_no_vep_gene,0.5753,0.5489,0.6523,0.5675
HistGradientBoosting,4class_raw_only,0.7225,0.7212,0.7225,0.7223
DecisionTree,4class_raw_only,0.6757,0.6517,0.6752,0.6755
LinearSVC,4class_raw_only,0.6401,0.6393,0.6411,0.64
AdaBoost,4class_raw_only,0.6305045871559632,0.6278338706568694,0.6295646793503391,0.6302993156412673
LDA,4class_raw_only,0.5635,0.552,0.6281,0.5635
SGDClassifier,4class_raw_only,0.5415,0.537,0.5394,0.5413
RidgeClassifier,4class_raw_only,0.5018,0.5146,0.5547,0.5018
QDA,4class_raw_only,0.4433,0.4434,0.5196,0.4434
KNN,4class_raw_only,0.4167,0.4172,0.434,0.4168
CosineSimilarity,4class_raw_only,0.394,0.4009,0.5045,0.3941
NearestCentroid,4class_raw_only,0.378,0.3791,0.4975,0.378
HistGradientBoosting,2class_raw_only,0.9339,0.9339,0.9339,0.9339
AdaBoost,2class_raw_only,0.9229357798165138,0.9229349852315201,0.9229619304465522,0.9229395025162044
DecisionTree,2class_raw_only,0.9131,0.9131,0.9132,0.9131
LinearSVC,2class_raw_only,0.8869,0.8862,0.8972,0.887
LDA,2class_raw_only,0.8319,0.8293,0.8529,0.8318
SGDClassifier,2class_raw_only,0.792,0.7911,0.797,0.792
RidgeClassifier,2class_raw_only,0.7438,0.7418,0.7517,0.7439
KNN,2class_raw_only,0.6892,0.689,0.6898,0.6892
QDA,2class_raw_only,0.6484,0.5998,0.7898,0.6487
CosineSimilarity,2class_raw_only,0.6385,0.593,0.7518,0.6388
NearestCentroid,2class_raw_only,0.625,0.5671,0.7705,0.6253
HistGradientBoosting,4class_no_ditto,0.7913,0.7911,0.7926,0.7914
LinearSVC,4class_no_ditto,0.7495,0.7489,0.7537,0.7495
DecisionTree,4class_no_ditto,0.7381,0.734,0.7467,0.7381
SGDClassifier,4class_no_ditto,0.7243,0.7179,0.7246,0.7244
LDA,4class_no_ditto,0.6981,0.6981,0.6988,0.6981
RidgeClassifier,4class_no_ditto,0.6914,0.6909,0.6913,0.6915
KNN,4class_no_ditto,0.6571,0.6567,0.6577,0.6571
QDA,4class_no_ditto,0.6334,0.6072,0.6895,0.6334
CosineSimilarity,4class_no_ditto,0.5591,0.5509,0.6013,0.5591
NearestCentroid,4class_no_ditto,0.5483,0.5489,0.5571,0.5484
HistGradientBoosting,3class_with_vus,0.9540293040293041,0.9459342485558792,0.9436441986690868,0.9484548322963166
DecisionTree,3class_with_vus,0.9152014652014652,0.9043588161324086,0.8970614151020947,0.9193876253535668
LinearSVC,3class_with_vus,0.8987179487179487,0.8762373178501358,0.8755154961650913,0.8770838227901184
AdaBoost,3class_with_vus,0.8968864468864469,0.870360820262896,0.8773996160328675,0.8653612801579061
SGDClassifier,3class_with_vus,0.8829670329670329,0.8579857232293113,0.8555586177615827,0.8610401661921566
RidgeClassifier,3class_with_vus,0.8732600732600733,0.8476836131809696,0.8451158778657688,0.8514169195000424
LDA,3class_with_vus,0.8805860805860806,0.8454625440492118,0.8553629096388985,0.8394345963634097
QDA,3class_with_vus,0.8470695970695971,0.8272978965298098,0.8269064911929922,0.8396653252392969
KNN,3class_with_vus,0.8366300366300367,0.7720838671947577,0.8228127613601671,0.7645336034713749
CosineSimilarity,3class_with_vus,0.7498168498168498,0.6673173530883435,0.6890041662209448,0.6709646235372083
NearestCentroid,3class_with_vus,0.6919413919413919,0.6416253010228964,0.64676603828948,0.6404166256154524
HistGradientBoosting,5class_with_vus,0.7994505494505495,0.7983976382448654,0.7987239200733904,0.7996995150387967
DecisionTree,5class_with_vus,0.7346153846153847,0.7292430588439925,0.7317282259234563,0.7349131891628333
LinearSVC,5class_with_vus,0.7192307692307692,0.7185925261309196,0.7222694871087245,0.7193389674931573
SGDClassifier,5class_with_vus,0.6855311355311355,0.6782762437007495,0.6844794191669872,0.6857099398790671
AdaBoost,5class_with_vus,0.6747252747252748,0.672985020891321,0.6842327196596597,0.6746990431261981
LDA,5class_with_vus,0.6617216117216117,0.6640918979978673,0.670465128753343,0.6617056277117005
RidgeClassifier,5class_with_vus,0.6573260073260073,0.6573712559773094,0.6581455398583029,0.6574030242348334
QDA,5class_with_vus,0.6256410256410256,0.612348490793616,0.6925713799346005,0.6257162698668555
KNN,5class_with_vus,0.6071428571428571,0.6078104042796253,0.6218830210431245,0.6069788240234028
NearestCentroid,5class_with_vus,0.4509157509157509,0.4528481796843914,0.4618773421079954,0.4507121479058947
CosineSimilarity,5class_with_vus,0.4675824175824176,0.4527572320411749,0.5289112703473975,0.46728967418159895
HistGradientBoosting,4class_lean_A,0.7844571428571429,0.7838005973293944,0.7853125724711294,0.7844963629277888
LinearSVC,4class_lean_A,0.7362285714285715,0.735376240875976,0.7417962269030483,0.7362769309767492
DecisionTree,4class_lean_A,0.7286857142857143,0.726473898798222,0.733805838325343,0.7287301524910892
SGDClassifier,4class_lean_A,0.7161142857142857,0.7050925114881555,0.721466167201827,0.7161532337243319
AdaBoost,4class_lean_A,0.7067428571428571,0.7012756665655852,0.7053975617591876,0.7067785107489742
LDA,4class_lean_A,0.6786285714285715,0.6784809258476501,0.6817191946789075,0.6786601959285532
RidgeClassifier,4class_lean_A,0.6768,0.6760748808894654,0.6790237722555478,0.676828906235626
KNN,4class_lean_A,0.6493714285714286,0.6493865302936161,0.6499475087132921,0.6493808865123079
NearestCentroid,4class_lean_A,0.5741714285714286,0.56062449877622,0.6479964696139913,0.5742390498953788
CosineSimilarity,4class_lean_A,0.5709714285714286,0.5535741972577185,0.6516070592542749,0.5710387357807956
QDA,4class_lean_A,0.5933714285714285,0.5394239078673092,0.6383911548625651,0.5934453251621169
HistGradientBoosting,4class_lean_B,0.7899428571428572,0.7899786870334303,0.7913790802534575,0.7899801963968817
LinearSVC,4class_lean_B,0.7456,0.7464419847864702,0.7525802302134398,0.7456455907712534
DecisionTree,4class_lean_B,0.7373714285714286,0.7359728520135054,0.7408066301481735,0.7374197360300132
SGDClassifier,4class_lean_B,0.7236571428571429,0.7133982349143733,0.7306253163939422,0.7236987577587808
AdaBoost,4class_lean_B,0.7101714285714286,0.7070847800061135,0.7099590726198571,0.7102027444047294
LDA,4class_lean_B,0.6886857142857142,0.6897665069269651,0.6913387390903373,0.6887087682794449
RidgeClassifier,4class_lean_B,0.6868571428571428,0.6873207618696139,0.688709279673499,0.6868808237897474
KNN,4class_lean_B,0.6557714285714286,0.6554081233241636,0.6559373272786593,0.6557806784406669
NearestCentroid,4class_lean_B,0.5819428571428571,0.567579221207335,0.654235001231227,0.582013302200642
CosineSimilarity,4class_lean_B,0.5744,0.5565389452620785,0.6537409405745954,0.5744688235422022
QDA,4class_lean_B,0.6075428571428572,0.5533200003351363,0.6733220397724362,0.6076227145989687
HistGradientBoosting,2class_lean_A,0.9810285714285715,0.9810285079940969,0.9810362785689866,0.9810290406415172
LinearSVC,2class_lean_A,0.9780571428571428,0.9780570041415837,0.9780709563839178,0.9780577686495487
SGDClassifier,2class_lean_A,0.9773714285714286,0.9773713529086216,0.9773790804926308,0.9773718975933072
AdaBoost,2class_lean_A,0.9764571428571429,0.9764570641372528,0.976464780973542,0.9764576118312549
LDA,2class_lean_A,0.9734857142857143,0.9734855466710803,0.973499401465907,0.9734863398392863
RidgeClassifier,2class_lean_A,0.9723428571428572,0.9723426490692684,0.9723589341692791,0.9723435348816214
DecisionTree,2class_lean_A,0.9673142857142857,0.9673138485470161,0.9673369396662345,0.9673135003331135
KNN,2class_lean_A,0.9574857142857143,0.9574829931972789,0.9576080876340121,0.9574875928809845
NearestCentroid,2class_lean_A,0.9154285714285715,0.9152532345909832,0.9189233642323147,0.9154390159902832
CosineSimilarity,2class_lean_A,0.9145142857142857,0.9143298412893881,0.9181436645822372,0.9145249392078336
QDA,2class_lean_A,0.8980571428571429,0.8972863271348757,0.9104297956362408,0.8980769905934101
HistGradientBoosting,2class_lean_B,0.9862857142857143,0.9862855072136665,0.9863177529076147,0.9862866539774251
AdaBoost,2class_lean_B,0.9853714285714286,0.9853712076945775,0.9854034086752981,0.9853723682153728
LinearSVC,2class_lean_B,0.9846857142857143,0.9846848949463471,0.9847944231934951,0.9846874375673437
SGDClassifier,2class_lean_B,0.984,0.9839994775339603,0.9840671116307514,0.9840013575314994
DecisionTree,2class_lean_B,0.9821714285714286,0.9821710923109525,0.9822107659794315,0.9821724725379903
LDA,2class_lean_B,0.9796571428571429,0.9796544854838183,0.9799155523160386,0.9796598062842674
RidgeClassifier,2class_lean_B,0.9796571428571429,0.9796544854838183,0.9799155523160386,0.9796598062842674
QDA,2class_lean_B,0.9734857142857143,0.9734805588197548,0.9738634752269955,0.9734889520843207
KNN,2class_lean_B,0.9721142857142857,0.9721139579110154,0.9721388003467564,0.9721151201758104
NearestCentroid,2class_lean_B,0.9273142857142858,0.9271951201132684,0.930155775036025,0.9273235815091503
CosineSimilarity,2class_lean_B,0.9264,0.9262738106153571,0.9293653442374439,0.9264095047267007
HistGradientBoosting,3class_lean_A,0.9432234432234432,0.9349045603904375,0.9308179828641073,0.9397713426315386
DecisionTree,3class_lean_A,0.9042124542124542,0.8944037490221461,0.8870698184842638,0.9111698038215102
AdaBoost,3class_lean_A,0.8811355311355311,0.8540470546706547,0.8604409969115853,0.8493176235599446
LinearSVC,3class_lean_A,0.8771062271062271,0.8513953521389229,0.8504623470145495,0.8524543573653457
SGDClassifier,3class_lean_A,0.8692307692307693,0.8387434102377633,0.8422574069736264,0.8360111356155282
RidgeClassifier,3class_lean_A,0.8503663003663003,0.8213458265382271,0.8192057909290976,0.8241753337358458
LDA,3class_lean_A,0.8573260073260073,0.8171174753744976,0.8258949087368945,0.8120426999994107
KNN,3class_lean_A,0.841941391941392,0.7882251607867428,0.8282603631324509,0.7785339621958317
QDA,3class_lean_A,0.7747252747252747,0.751262752690922,0.7739686996606291,0.7652451578513921
CosineSimilarity,3class_lean_A,0.7606227106227106,0.6881479010983441,0.7073315073128406,0.6884558091046961
NearestCentroid,3class_lean_A,0.717948717948718,0.6696291856437325,0.6747772935792513,0.670249279814339
HistGradientBoosting,3class_lean_B,0.9476190476190476,0.9385748242673672,0.9351747834455759,0.9425021957136638
DecisionTree,3class_lean_B,0.9172161172161172,0.9065184793750317,0.8991952742177158,0.9207551570851028
AdaBoost,3class_lean_B,0.8963369963369964,0.8690060723195633,0.8776063970367171,0.8632043019988362
LinearSVC,3class_lean_B,0.8813186813186813,0.855556658308141,0.8545683693037752,0.8567325254454371
SGDClassifier,3class_lean_B,0.8778388278388278,0.8473185286500278,0.8506385855331118,0.844719887565987
RidgeClassifier,3class_lean_B,0.8626373626373627,0.8345733564832475,0.8328972346606155,0.8371685693378165
LDA,3class_lean_B,0.8653846153846154,0.8238169323003746,0.8362057254215874,0.8175128269255545
KNN,3class_lean_B,0.8532967032967033,0.797344911177715,0.8419580935279853,0.7873656572699385
QDA,3class_lean_B,0.813003663003663,0.7842213696131886,0.7948747556187481,0.793700596442565
CosineSimilarity,3class_lean_B,0.7712454212454213,0.6946392543439633,0.7178961017230163,0.6954416731717052
NearestCentroid,3class_lean_B,0.7315018315018315,0.6816979589384408,0.6853076798328867,0.6823006531985002
HistGradientBoosting,5class_lean_A,0.7840659340659341,0.7823194033822726,0.7827897595563222,0.7843327778266241
DecisionTree,5class_lean_A,0.7194139194139194,0.7139573144589925,0.7147396608810304,0.7197434170543409
LinearSVC,5class_lean_A,0.693040293040293,0.6914870246447556,0.6957383765668145,0.6931622068157713
SGDClassifier,5class_lean_A,0.678937728937729,0.6762776785557938,0.6808762484810107,0.6790672603749802
AdaBoost,5class_lean_A,0.6481684981684982,0.6451566039912165,0.6546863947507457,0.6480548718464589
RidgeClassifier,5class_lean_A,0.6336996336996337,0.6329690480017343,0.6354199804876483,0.6337878196325306
LDA,5class_lean_A,0.6313186813186813,0.6328365748600799,0.6426710521758964,0.6313105665327509
KNN,5class_lean_A,0.6062271062271062,0.6084310016062385,0.6155304860070194,0.6061916042844715
QDA,5class_lean_A,0.5703296703296703,0.5384491089132952,0.6333686493062101,0.5704770407024983
CosineSimilarity,5class_lean_A,0.48333333333333334,0.4680001591851931,0.5716994500196471,0.4830535417427833
NearestCentroid,5class_lean_A,0.46886446886446886,0.459662881844876,0.5474441926446753,0.46873151797375767
HistGradientBoosting,5class_lean_B,0.7880952380952381,0.7866633704231856,0.7869012837840187,0.7883567338906324
DecisionTree,5class_lean_B,0.7338827838827838,0.7329770101613737,0.734327149808338,0.7341441950777
LinearSVC,5class_lean_B,0.7053113553113554,0.7039903605428456,0.7084430963364183,0.7054394475167174
SGDClassifier,5class_lean_B,0.693040293040293,0.6902056915268869,0.6936703551685435,0.6931792110849985
AdaBoost,5class_lean_B,0.672893772893773,0.6672963388830345,0.6839999769309868,0.6728969140091692
LDA,5class_lean_B,0.6474358974358975,0.6499466246870341,0.6583057346543242,0.6473873682983275
RidgeClassifier,5class_lean_B,0.6437728937728938,0.6439855490841735,0.6451949832127639,0.6438237979098907
KNN,5class_lean_B,0.6168498168498169,0.6184675476849192,0.6259111898473078,0.6168039714067752
QDA,5class_lean_B,0.5838827838827839,0.5518275843940914,0.665807848266325,0.5839972043042099
CosineSimilarity,5class_lean_B,0.4912087912087912,0.47460384822503177,0.5823132178938655,0.490921805358086
NearestCentroid,5class_lean_B,0.47545787545787543,0.4653225728404421,0.5535602446856809,0.47531856875217765
