annotator,mean,min,max,count
chasmplus,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_BLCA,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_UVM,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_UCS,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_UCEC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_THYM,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_THCA,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_STAD,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_TGCT,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_SARC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_READ,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_PRAD,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_PAAD,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_OV,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_ACC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
siphy,0.01376188734455011,0.01376188734455011,0.01376188734455011,3
genocanyon,0.011658741770299927,0.011658741770299927,0.011658741770299927,2
phastcons,0.011521580102414046,0.011521580102414046,0.011521580102414046,6
ncer,0.004069129480614484,0.004069129480614484,0.004069129480614484,1
hg19,4.57205559619605e-05,4.57205559619605e-05,4.57205559619605e-05,2
ucscgenomebrowser,4.57205559619605e-05,4.57205559619605e-05,4.57205559619605e-05,1
flank_seq,4.57205559619605e-05,4.57205559619605e-05,4.57205559619605e-05,2
original_input,0.0,0.0,0.0,4
