task,group,feature,baseline_f1,importance_mean,importance_std
3class,chasmplus,chasmplus_cesc_pval,0.9459342485558792,0.0003481907098515591,0.0002153497150682824
3class,chasmplus,chasmplus_ucec_score,0.9459342485558792,0.0003174754803931368,0.0002572221968282242
3class,chasmplus,chasmplus_lihc_pval,0.9459342485558792,0.00031074140894908896,0.00041173762055975535
3class,chasmplus,chasmplus_lihc_score,0.9459342485558792,0.00029497921448247145,0.0001502530444860445
3class,chasmplus,chasmplus_tgct_pval,0.9459342485558792,0.0002911890464469935,0.00018359348924285035
3class,chasmplus,chasmplus_lusc_score,0.9459342485558792,0.000255410315375626,0.00020961748168376636
3class,chasmplus,chasmplus_read_pval,0.9459342485558792,0.0002198190923266008,0.0001610099993354354
3class,chasmplus,chasmplus_sarc_score,0.9459342485558792,0.00021580242424830144,0.00013646897188570602
3class,chasmplus,chasmplus_hnsc_score,0.9459342485558792,0.0001990981161810068,0.00015882534870918368
3class,chasmplus,chasmplus_stad_score,0.9459342485558792,0.00018527406250802293,0.0002121927842542095
3class,chasmplus,chasmplus_chol_pval,0.9459342485558792,0.00018237775818027435,0.00019881478409363492
3class,chasmplus,chasmplus_uvm_pval,0.9459342485558792,0.00017366627343659013,0.00015694859630477174
3class,chasmplus,chasmplus_read_score,0.9459342485558792,0.00012949186907544873,0.00010572966835804464
3class,chasmplus,chasmplus_coad_pval,0.9459342485558792,0.00012507275109896465,0.00018481258733855048
3class,chasmplus,chasmplus_lusc_pval,0.9459342485558792,0.00011789291126086398,0.0006049783207231616
3class,chasmplus,chasmplus_paad_score,0.9459342485558792,0.0001029240135898446,0.0001071215205310601
3class,chasmplus,chasmplus_kirp_score,0.9459342485558792,0.00010191790802809298,0.00017880242054578782
3class,chasmplus,chasmplus_coad_score,0.9459342485558792,8.632791271696582e-05,0.00010572966835804464
3class,chasmplus,chasmplus_skcm_pval,0.9459342485558792,8.277204786347748e-05,0.0002655633761831966
3class,chasmplus,chasmplus_blca_score,0.9459342485558792,7.880177456272008e-05,0.0001481923398939762
3class,chasmplus,chasmplus_meso_pval,0.9459342485558792,7.814897515583397e-05,0.00018437662114756945
3class,chasmplus,chasmplus_ov_score,0.9459342485558792,7.562304083789107e-05,0.00022006861726864486
3class,chasmplus,chasmplus_blca_pval,0.9459342485558792,7.17792752867874e-05,0.0002793481199224144
3class,chasmplus,chasmplus_hnsc_pval,0.9459342485558792,6.487159423208544e-05,0.00024281623549501978
3class,chasmplus,chasmplus_ucs_score,0.9459342485558792,6.251223126594319e-05,0.00014281232109691813
3class,chasmplus,chasmplus_sarc_pval,0.9459342485558792,5.804771825748123e-05,0.00014502847962400258
3class,chasmplus,chasmplus_gbm_score,0.9459342485558792,4.316395635848291e-05,8.632791271696584e-05
3class,chasmplus,chasmplus_tgct_score,0.9459342485558792,2.4184024320550447e-05,0.00015777624247051455
3class,chasmplus,chasmplus_chol_score,0.9459342485558792,0.0,0.0
3class,chasmplus,chasmplus_dlbc_score,0.9459342485558792,0.0,0.0
3class,chasmplus,chasmplus_kich_score,0.9459342485558792,0.0,0.0
3class,chasmplus,chasmplus_lgg_score,0.9459342485558792,0.0,0.0
3class,chasmplus,chasmplus_thym_score,0.9459342485558792,0.0,0.0
3class,chasmplus,chasmplus_thca_pval,0.9459342485558792,-5.50307382150006e-06,0.00015630963194041515
3class,chasmplus,chasmplus_thca_score,0.9459342485558792,-1.295874742832659e-05,0.00038333821134536574
3class,chasmplus,chasmplus_pcpg_score,0.9459342485558792,-2.9036973384410913e-05,9.195348307306181e-05
3class,chasmplus,chasmplus_ucs_pval,0.9459342485558792,-3.0324198176878702e-05,0.00027684347980164403
3class,chasmplus,chasmplus_kirc_pval,0.9459342485558792,-3.5210061368007305e-05,0.0002818470388922044
3class,chasmplus,chasmplus_cesc_score,0.9459342485558792,-3.8602833643686106e-05,0.00011128385028109347
3class,chasmplus,chasmplus_prad_score,0.9459342485558792,-4.320038538802029e-05,0.00014175242258196186
3class,chasmplus,chasmplus_acc_score,0.9459342485558792,-4.553448394636339e-05,6.955507313832059e-05
3class,chasmplus,chasmplus_laml_score,0.9459342485558792,-6.310552966382055e-05,0.00010441998624149143
3class,chasmplus,chasmplus_score,0.9459342485558792,-6.935016539738603e-05,8.816869521922046e-05
3class,chasmplus,chasmplus_luad_score,0.9459342485558792,-7.591300412908008e-05,0.00014707933449489423
3class,chasmplus,chasmplus_uvm_score,0.9459342485558792,-8.466500393983223e-05,8.405081502308842e-05
3class,chasmplus,chasmplus_dlbc_pval,0.9459342485558792,-8.595556990288466e-05,0.00017640944491946126
3class,chasmplus,chasmplus_kirc_score,0.9459342485558792,-0.00010624684964157804,9.718708500802802e-05
3class,chasmplus,chasmplus_acc_pval,0.9459342485558792,-0.0001240938456183893,0.00024954579033073255
3class,chasmplus,chasmplus_meso_score,0.9459342485558792,-0.00013660317227248697,8.173632909893967e-05
3class,chasmplus,chasmplus_lgg_pval,0.9459342485558792,-0.00015268966897112878,0.0003161789582819361
3class,chasmplus,chasmplus_paad_pval,0.9459342485558792,-0.00016414520366022644,0.0003072020056310239
3class,chasmplus,chasmplus_thym_pval,0.9459342485558792,-0.00016814250446197664,0.0001481085123696094
3class,chasmplus,chasmplus_prad_pval,0.9459342485558792,-0.00017210957078024337,0.00019979376588412666
3class,chasmplus,chasmplus_ucec_pval,0.9459342485558792,-0.0001764832168028696,0.00030891202991317177
3class,chasmplus,chasmplus_laml_pval,0.9459342485558792,-0.00018509407563944703,0.00018375393839620448
3class,chasmplus,chasmplus_pval,0.9459342485558792,-0.0002227268361499668,0.00027482026428123134
3class,chasmplus,chasmplus_kich_pval,0.9459342485558792,-0.00024069287132911789,0.0002509868770840531
3class,chasmplus,chasmplus_brca_pval,0.9459342485558792,-0.0002913963327970226,0.00041311701375114867
3class,chasmplus,chasmplus_esca_pval,0.9459342485558792,-0.0003131241748487223,0.0004961772381425339
3class,chasmplus,chasmplus_kirp_pval,0.9459342485558792,-0.0003812368335119998,0.0003340600839797363
3class,chasmplus,chasmplus_skcm_score,0.9459342485558792,-0.0004700961458123931,0.0001824551943316342
3class,chasmplus,chasmplus_pcpg_pval,0.9459342485558792,-0.0004822817649248301,0.0002764505149707957
3class,chasmplus,chasmplus_stad_pval,0.9459342485558792,-0.0005599344696104236,0.00038674243913102276
3class,chasmplus,chasmplus_ov_pval,0.9459342485558792,-0.0009432387800534681,0.00040694258480404355
3class,conservation,gerp_gerp_nr,0.9459342485558792,0.0012214415002461565,0.000725196761403095
3class,conservation,phylop_phylop470_mamm,0.9459342485558792,7.166911898487394e-05,0.00025597385272472704
3class,conservation,phylop_phylop17_primate,0.9459342485558792,8.466277659602284e-07,0.00022199758030724422
3class,conservation,gerp_gerp_rs_rank,0.9459342485558792,0.0,0.0
3class,conservation,phastcons_phastcons100_vert_r,0.9459342485558792,0.0,0.0
3class,conservation,phastcons_phastcons470_mamm_r,0.9459342485558792,0.0,0.0
3class,conservation,phastcons_phastcons17way_primate_r,0.9459342485558792,0.0,0.0
3class,conservation,phylop_phylop100_vert_r,0.9459342485558792,0.0,0.0
3class,conservation,phylop_phylop470_mamm_r,0.9459342485558792,0.0,0.0
3class,conservation,phylop_phylop17_primate_r,0.9459342485558792,0.0,0.0
3class,conservation,siphy_logodds_rank,0.9459342485558792,0.0,0.0
3class,conservation,phastcons_phastcons100_vert,0.9459342485558792,-9.600782778136363e-05,0.00011758509468867202
3class,conservation,phastcons_phastcons470_mamm,0.9459342485558792,-0.00010795338086438955,0.00010795338086438955
3class,conservation,phylop_phylop100_vert,0.9459342485558792,-0.00018628864483776207,0.0001801063056405614
3class,conservation,gerp_gerp_rs,0.9459342485558792,-0.000191660008133987,0.0003645175296602109
3class,conservation,phastcons_phastcons17way_primate,0.9459342485558792,-0.0003649026505500808,0.0006538055861808248
3class,conservation,siphy_logodds,0.9459342485558792,-0.0009130628271325381,0.000375537933740096
3class,ditto,ditto_score,0.9459342485558792,0.07777420689119663,0.00287782210723177
3class,metarnn,metarnn_score,0.9459342485558792,0.007821218119311824,0.001961981184088466
3class,metarnn,metarnn_rank_score,0.9459342485558792,0.00020363869030314284,0.0006859030874298359
3class,position,hg19_pos,0.9459342485558792,0.006050570327332994,0.0012632033338925166
3class,position,original_input_pos,0.9459342485558792,0.0010714264149885079,0.0005483998314207274
3class,revel,revel_rankscore,0.9459342485558792,0.0,0.0
3class,revel,revel_score,0.9459342485558792,-0.00019414901126142415,0.0007880754201611348
4class,alphamissense,alphamissense_am_pathogenicity,0.7950392616951822,-0.0001572399268029878,0.0016195159033256588
