task,model,group,n_dropped,baseline_f1,ablated_f1,delta
4class,DecisionTree,conservation,17,0.7514090067859782,0.750949124133605,0.00045988265237317805
4class,SGDClassifier,conservation,17,0.7182084960604684,0.7283308525144352,-0.010122356453966752
4class,LDA,conservation,17,0.702199015949549,0.6976132555268241,0.00458576042272496
4class,RidgeClassifier,conservation,17,0.7003232293438628,0.6983151161294547,0.0020081132144080804
4class,KNN,conservation,17,0.6597909745251019,0.6641778068884767,-0.004386832363374782
4class,QDA,conservation,17,0.6178040521058193,0.6161879092117291,0.0016161428940902889
4class,CosineSimilarity,conservation,17,0.5532079450338492,0.5517318159861769,0.0014761290476722477
4class,NearestCentroid,conservation,17,0.5514029819836793,0.5548105649866713,-0.003407583002991932
4class,HistGradientBoosting,population_af,47,0.7950392616951822,0.7479670558185196,0.04707220587666261
4class,LinearSVC,population_af,47,0.754933552727006,0.6890223824022281,0.06591117032477789
4class,DecisionTree,population_af,47,0.7514090067859782,0.6939730342700092,0.05743597251596899
4class,SGDClassifier,population_af,47,0.7182084960604684,0.6588639316562056,0.059344564404262834
4class,LDA,population_af,47,0.702199015949549,0.6865371030508922,0.015661912898656816
4class,RidgeClassifier,population_af,47,0.7003232293438628,0.6794754787809882,0.02084775056287458
4class,KNN,population_af,47,0.6597909745251019,0.640737571212377,0.01905340331272498
4class,QDA,population_af,47,0.6178040521058193,0.5807954316390299,0.03700862046678943
4class,CosineSimilarity,population_af,47,0.5532079450338492,0.5293528586346805,0.023855086399168668
4class,NearestCentroid,population_af,47,0.5514029819836793,0.5266554911647561,0.024747490818923246
4class,HistGradientBoosting,functional,4,0.7950392616951822,0.7962340653205429,-0.0011948036253606187
4class,LinearSVC,functional,4,0.754933552727006,0.753967240141885,0.0009663125851210319
4class,DecisionTree,functional,4,0.7514090067859782,0.7514090067859782,0.0
4class,SGDClassifier,functional,4,0.7182084960604684,0.7210326320560262,-0.0028241359955577527
4class,LDA,functional,4,0.702199015949549,0.6971578207112246,0.00504119523832447
4class,RidgeClassifier,functional,4,0.7003232293438628,0.6936882362045523,0.0066349931393104855
4class,KNN,functional,4,0.6597909745251019,0.6615288229290468,-0.0017378484039448638
4class,QDA,functional,4,0.6178040521058193,0.6178108955810602,-6.843475240825292e-06
4class,CosineSimilarity,functional,4,0.5532079450338492,0.5504859837017008,0.002721961332148415
4class,NearestCentroid,functional,4,0.5514029819836793,0.5499425309013849,0.0014604510822944228
4class,HistGradientBoosting,position,2,0.7950392616951822,0.7994588232996339,-0.004419561604451672
4class,LinearSVC,position,2,0.754933552727006,0.7551020647047896,-0.00016851197778355864
4class,DecisionTree,position,2,0.7514090067859782,0.750949124133605,0.00045988265237317805
4class,SGDClassifier,position,2,0.7182084960604684,0.7140011830791276,0.004207312981340805
4class,LDA,position,2,0.702199015949549,0.7014835394107382,0.0007154765388108775
4class,RidgeClassifier,position,2,0.7003232293438628,0.6996690616547232,0.0006541676891396175
4class,KNN,position,2,0.6597909745251019,0.6653457886534009,-0.005554814128298946
4class,QDA,position,2,0.6178040521058193,0.6140711434617706,0.003732908644048738
4class,CosineSimilarity,position,2,0.5532079450338492,0.553711562529988,-0.0005036174961388085
4class,NearestCentroid,position,2,0.5514029819836793,0.5514029819836793,0.0
2class,HistGradientBoosting,ditto,1,0.9871998495329252,0.9826282437901588,0.0045716057427663825
2class,LinearSVC,ditto,1,0.9867423522050486,0.9830853245715924,0.0036570276334562113
2class,SGDClassifier,ditto,1,0.9846853942417082,0.981714009618222,0.0029713846234862284
2class,DecisionTree,ditto,1,0.9821710923109525,0.9753123239207018,0.00685876839025068
2class,LDA,ditto,1,0.9801116880572156,0.9782854238599056,0.0018262641973100235
2class,RidgeClassifier,ditto,1,0.9796544854838184,0.978056949113438,0.0015975363703804035
2class,KNN,ditto,1,0.9652556162598284,0.9609119249860066,0.004343691273821726
2class,QDA,ditto,1,0.965025932927851,0.949232186809244,0.015793746118606955
2class,NearestCentroid,ditto,1,0.8995711777528844,0.8975136390522396,0.0020575387006448453
2class,CosineSimilarity,ditto,1,0.8991136432551754,0.8968259707666307,0.0022876724885446675
2class,HistGradientBoosting,alphamissense,1,0.9871998495329252,0.986742701301958,0.00045714823096720814
2class,LinearSVC,alphamissense,1,0.9867423522050486,0.9862851116815112,0.00045724052353735
2class,SGDClassifier,alphamissense,1,0.9846853942417082,0.984228241831013,0.0004571524106952163
2class,DecisionTree,alphamissense,1,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,alphamissense,1,0.9801116880572156,0.9796544854838184,0.0004572025733972085
2class,RidgeClassifier,alphamissense,1,0.9796544854838184,0.9798831908331724,-0.0002287053493540414
2class,KNN,alphamissense,1,0.9652556162598284,0.9641123657697984,0.0011432504900299456
2class,QDA,alphamissense,1,0.965025932927851,0.9643403066451486,0.0006856262827024118
2class,NearestCentroid,alphamissense,1,0.8995711777528844,0.8991136432551754,0.0004575344977090223
2class,CosineSimilarity,alphamissense,1,0.8991136432551754,0.8984259765120071,0.0006876667431683359
2class,HistGradientBoosting,revel,2,0.9871998495329252,0.986742701301958,0.00045714823096720814
2class,LinearSVC,revel,2,0.9867423522050486,0.9867423522050486,0.0
2class,SGDClassifier,revel,2,0.9846853942417082,0.9851426584304618,-0.0004572641887535811
2class,DecisionTree,revel,2,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,revel,2,0.9801116880572156,0.9801116880572156,0.0
2class,RidgeClassifier,revel,2,0.9796544854838184,0.9798831908331724,-0.0002287053493540414
2class,KNN,revel,2,0.9652556162598284,0.9645701772768568,0.0006854389829715757
2class,QDA,revel,2,0.965025932927851,0.9647969083351724,0.00022902459267859498
2class,NearestCentroid,revel,2,0.8995711777528844,0.8991109211202315,0.00046025663265292227
2class,CosineSimilarity,revel,2,0.8991136432551754,0.8975108952193225,0.001602748035852919
2class,HistGradientBoosting,cadd,4,0.9871998495329252,0.9876570338763088,-0.0004571843433835987
2class,LinearSVC,cadd,4,0.9867423522050486,0.9869708159338756,-0.00022846372882701083
2class,SGDClassifier,cadd,4,0.9846853942417082,0.9849138687705642,-0.00022847452885599306
2class,DecisionTree,cadd,4,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,cadd,4,0.9801116880572156,0.9796544854838184,0.0004572025733972085
2class,RidgeClassifier,cadd,4,0.9796544854838184,0.9796544854838184,0.0
2class,KNN,cadd,4,0.9652556162598284,0.963655198454764,0.0016004178050643691
2class,QDA,cadd,4,0.965025932927851,0.9645690295621128,0.000456903365738226
2class,NearestCentroid,cadd,4,0.8995711777528844,0.8991241083904429,0.0004470693624415434
2class,CosineSimilarity,cadd,4,0.8991136432551754,0.8982065583759604,0.000907084879214981
2class,HistGradientBoosting,metarnn,2,0.9871998495329252,0.9867427400893688,0.0004571094435563694
2class,LinearSVC,metarnn,2,0.9867423522050486,0.9853707857936118,0.0013715664114367643
2class,SGDClassifier,metarnn,2,0.9846853942417082,0.984228241831013,0.0004571524106952163
2class,DecisionTree,metarnn,2,0.9821710923109525,0.980342847899984,0.0018282444109684048
2class,LDA,metarnn,2,0.9801116880572156,0.9789683420511516,0.0011433460060640277
2class,RidgeClassifier,metarnn,2,0.9796544854838184,0.9787396182061292,0.0009148672776891908
2class,KNN,metarnn,2,0.9652556162598284,0.9602250782488312,0.0050305380109971765
2class,QDA,metarnn,2,0.965025932927851,0.9615962901702804,0.003429642757570628
2class,NearestCentroid,metarnn,2,0.8995711777528844,0.8945266502490388,0.005044527503845653
2class,CosineSimilarity,metarnn,2,0.8991136432551754,0.8936114801861237,0.005502163069051713
2class,HistGradientBoosting,bayesdel,4,0.9871998495329252,0.98742830870588,-0.00022845917295488682
2class,LinearSVC,bayesdel,4,0.9867423522050486,0.9860563968914504,0.0006859553135981633
2class,SGDClassifier,bayesdel,4,0.9846853942417082,0.9855995666468776,-0.0009141724051694444
2class,DecisionTree,bayesdel,4,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,bayesdel,4,0.9801116880572156,0.9796544854838184,0.0004572025733972085
2class,RidgeClassifier,bayesdel,4,0.9796544854838184,0.979654693846968,-2.0836314962302538e-07
2class,KNN,bayesdel,4,0.9652556162598284,0.9620556976903114,0.0031999185695169574
2class,QDA,bayesdel,4,0.965025932927851,0.9629684858810528,0.002057447046798222
2class,NearestCentroid,bayesdel,4,0.8995711777528844,0.8938356923774655,0.005735485375418903
2class,CosineSimilarity,bayesdel,4,0.8991136432551754,0.8936114801861237,0.005502163069051713
2class,HistGradientBoosting,chasmplus,68,0.9871998495329252,0.9860569563732028,0.0011428931597223801
2class,LinearSVC,chasmplus,68,0.9867423522050486,0.9855993228742836,0.001143029330764933
2class,SGDClassifier,chasmplus,68,0.9846853942417082,0.9835427118350786,0.0011426824066296248
2class,DecisionTree,chasmplus,68,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,chasmplus,68,0.9801116880572156,0.9796544854838184,0.0004572025733972085
2class,RidgeClassifier,chasmplus,68,0.9796544854838184,0.9798831908331724,-0.0002287053493540414
2class,KNN,chasmplus,68,0.9652556162598284,0.9695996887008124,-0.004344072440984004
2class,QDA,chasmplus,68,0.965025932927851,0.9707382325892484,-0.005712299661397413
2class,NearestCentroid,chasmplus,68,0.8995711777528844,0.921927907988203,-0.02235673023531859
2class,CosineSimilarity,chasmplus,68,0.8991136432551754,0.92123661755181,-0.022122974296634568
2class,HistGradientBoosting,other_vep,56,0.9871998495329252,0.9874284032873138,-0.00022855375438868286
2class,LinearSVC,other_vep,56,0.9867423522050486,0.9844564599057126,0.0022858922993359565
2class,SGDClassifier,other_vep,56,0.9846853942417082,0.9839994775339604,0.0006859167077477579
2class,DecisionTree,other_vep,56,0.9821710923109525,0.98331400326463,-0.0011429109536775783
2class,LDA,other_vep,56,0.9801116880572156,0.9794255520065612,0.0006861360506543734
2class,RidgeClassifier,other_vep,56,0.9796544854838184,0.9794255520065612,0.00022893347725716495
2class,KNN,other_vep,56,0.9652556162598284,0.9663971910794829,-0.0011415748196544895
2class,QDA,other_vep,56,0.965025932927851,0.9657062428904142,-0.0006803099625631859
2class,NearestCentroid,other_vep,56,0.8995711777528844,0.8551106903315413,0.04446048742134312
2class,CosineSimilarity,other_vep,56,0.8991136432551754,0.8535008279296068,0.0456128153255686
2class,HistGradientBoosting,conservation,17,0.9871998495329252,0.9878855902341585,-0.0006857407012332839
2class,LinearSVC,conservation,17,0.9867423522050486,0.9867422746254608,7.75795877538954e-08
2class,SGDClassifier,conservation,17,0.9846853942417082,0.9860566504121824,-0.0013712561704741777
2class,DecisionTree,conservation,17,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,conservation,17,0.9801116880572156,0.9801118917380476,-2.0368083197830344e-07
